"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Colorado","Park",2007,199,61,103,31,4,0,0,166,115,67,0,0,199,0,0
"Colorado","Pitkin",2007,361,202,146,13,0,0,0,126,87,44,0,0,177,2,182
"Colorado","Prowers",2007,363,344,19,0,0,0,0,70,42,22,0,0,0,0,363
"Colorado","Pueblo",2007,128,120,8,0,0,0,0,70,46,28,0,0,0,93,35
"Colorado","Routt",2007,357,340,17,0,0,0,0,73,36,19,0,0,0,0,357
"Colorado","San Juan",2007,118,117,1,0,0,0,0,57,19,9,0,0,0,118,0
"Colorado","San Miguel",2007,114,112,2,0,0,0,0,62,31,17,0,0,0,0,114
"Colorado","Summit",2007,326,317,9,0,0,0,0,64,29,13,0,0,0,0,326
"Colorado","Weld",2007,365,224,125,16,0,0,0,139,93,45,17,0,300,46,2
"Connecticut","Fairfield",2007,365,211,116,27,10,1,0,203,108,46,4,46,153,161,1
"Connecticut","Hartford",2007,365,250,99,11,4,1,0,202,78,40,9,52,142,162,0
"Connecticut","Litchfield",2007,365,276,59,23,6,1,0,219,90,39,1,14,313,37,0
"Connecticut","Middlesex",2007,182,120,37,19,5,1,0,206,115,44,0,0,182,0,0
"Connecticut","New Haven",2007,365,218,118,22,7,0,0,200,90,45,0,75,122,168,0
"Connecticut","New London",2007,331,219,89,17,6,0,0,179,80,42,0,0,148,183,0
"Connecticut","Tolland",2007,172,125,25,15,6,1,0,202,119,41,0,0,172,0,0
"Connecticut","Windham",2007,361,314,31,14,2,0,0,172,64,33,0,0,361,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2007,365,16,159,103,75,8,4,440,167,104,2,17,62,122,162
"Country Of Mexico","CHIHUAHUA STATE",2007,365,206,132,23,3,0,1,494,93,47,68,0,249,0,48
"Country Of Mexico","SONORA",2007,153,23,98,28,3,0,1,327,118,73,6,0,0,0,147
"Delaware","Kent",2007,262,153,97,12,0,0,0,129,90,47,0,0,186,76,0
"Delaware","New Castle",2007,365,154,175,31,4,1,0,213,100,55,0,42,148,175,0
"Delaware","Sussex",2007,261,137,101,23,0,0,0,147,97,49,0,0,193,68,0
"District Of Columbia","District of Columbia",2007,365,152,182,26,5,0,0,169,97,54,0,57,134,173,1
"Florida","Alachua",2007,365,287,67,10,1,0,0,154,71,40,0,0,304,58,3
"Florida","Baker",2007,365,305,58,2,0,0,0,122,58,38,0,0,365,0,0
"Florida","Bay",2007,364,260,93,11,0,0,0,136,77,42,0,0,304,51,9
"Florida","Brevard",2007,365,260,101,3,1,0,0,156,67,42,0,0,243,122,0
"Florida","Broward",2007,365,262,95,6,2,0,0,153,64,42,0,11,140,204,10
"Florida","Citrus",2007,121,102,19,0,0,0,0,86,56,35,0,0,0,121,0
"Florida","Collier",2007,364,270,92,2,0,0,0,137,67,40,0,0,214,150,0
"Florida","Columbia",2007,365,225,131,8,1,0,0,159,72,47,0,0,194,171,0
"Florida","Duval",2007,365,217,134,8,6,0,0,168,77,47,0,1,168,196,0
"Florida","Escambia",2007,365,182,162,19,2,0,0,174,90,51,0,0,183,182,0
"Florida","Hamilton",2007,336,239,94,0,3,0,0,193,62,36,0,0,0,207,129
"Florida","Highlands",2007,357,300,54,3,0,0,0,122,61,36,0,0,357,0,0
"Florida","Hillsborough",2007,365,178,167,14,5,1,0,247,84,51,0,0,155,205,5
"Florida","Holmes",2007,365,233,125,7,0,0,0,115,76,45,0,0,226,139,0
"Florida","Indian River",2007,310,256,52,2,0,0,0,115,67,38,0,0,310,0,0
"Florida","Lake",2007,363,261,91,10,1,0,0,166,67,41,0,0,252,111,0
"Florida","Lee",2007,365,299,64,2,0,0,0,122,64,38,0,0,327,33,5
"Florida","Leon",2007,365,150,193,14,7,0,1,326,84,54,0,0,78,287,0
"Florida","Liberty",2007,343,308,35,0,0,0,0,97,51,36,0,0,343,0,0
"Florida","Manatee",2007,365,286,70,9,0,0,0,147,67,40,0,2,321,39,3
"Florida","Marion",2007,365,291,67,5,2,0,0,164,61,40,0,0,296,69,0
"Florida","Miami-Dade",2007,365,226,130,9,0,0,0,126,74,45,0,2,118,245,0
"Florida","Orange",2007,365,237,115,11,2,0,0,164,74,45,0,2,182,181,0
"Florida","Osceola",2007,365,313,46,6,0,0,0,143,61,36,0,0,365,0,0
"Florida","Palm Beach",2007,365,301,61,2,1,0,0,152,56,36,0,13,246,103,3
"Florida","Pasco",2007,362,273,80,9,0,0,0,136,74,41,0,0,362,0,0
"Florida","Pinellas",2007,365,232,125,5,3,0,0,186,71,45,0,2,160,203,0
"Florida","Polk",2007,365,251,102,12,0,0,0,150,72,43,0,0,223,140,2
"Florida","Putnam",2007,313,305,8,0,0,0,0,85,32,19,0,0,0,0,313
"Florida","Santa Rosa",2007,363,274,69,19,1,0,0,172,80,42,0,0,363,0,0
"Florida","Sarasota",2007,365,285,72,8,0,0,0,140,67,40,8,0,317,32,8
"Florida","Seminole",2007,365,292,69,3,1,0,0,164,67,40,0,0,311,43,11
"Florida","St. Lucie",2007,363,275,87,1,0,0,0,104,59,38,0,0,135,228,0
"Florida","Volusia",2007,365,309,53,2,1,0,0,181,55,40,0,0,319,45,1
"Florida","Wakulla",2007,349,281,64,4,0,0,0,115,67,39,0,0,308,41,0
"Georgia","Bibb",2007,365,138,191,28,8,0,0,184,100,55,0,0,95,269,1
"Georgia","Charlton",2007,116,100,12,1,3,0,0,159,56,29,0,0,0,116,0
"Georgia","Chatham",2007,365,164,194,5,2,0,0,155,73,52,0,0,53,312,0
"Georgia","Chattooga",2007,262,141,97,23,1,0,0,182,100,49,0,0,243,0,19
"Georgia","Clarke",2007,357,149,180,26,2,0,0,155,93,55,0,0,115,242,0
"Georgia","Clayton",2007,118,47,68,3,0,0,0,124,80,56,0,0,0,118,0
"Georgia","Cobb",2007,283,120,128,30,5,0,0,172,105,55,0,0,198,85,0
"Georgia","Coffee",2007,49,24,22,3,0,0,0,124,78,51,0,0,0,49,0
"Georgia","Columbia",2007,226,132,84,9,1,0,0,164,87,47,0,0,226,0,0
"Georgia","Coweta",2007,364,155,181,19,8,1,0,201,95,55,0,0,108,256,0
"Georgia","Dawson",2007,245,150,85,9,1,0,0,161,84,47,0,0,245,0,0
"Georgia","DeKalb",2007,365,102,223,24,15,1,0,220,105,61,0,17,84,264,0
"Georgia","Dougherty",2007,114,59,50,4,1,0,0,181,84,49,0,0,0,105,9
"Georgia","Douglas",2007,264,140,91,29,4,0,0,177,105,50,0,0,245,0,19
"Georgia","Fayette",2007,245,135,83,20,7,0,0,197,101,48,0,0,245,0,0
"Georgia","Floyd",2007,294,99,186,9,0,0,0,149,82,59,0,0,0,294,0
"Georgia","Fulton",2007,365,98,220,31,15,1,0,212,109,63,0,13,81,271,0
"Georgia","Glynn",2007,279,223,54,2,0,0,0,149,58,40,0,0,200,70,9
"Georgia","Gwinnett",2007,355,139,177,32,7,0,0,185,105,58,0,0,125,230,0
"Georgia","Hall",2007,108,54,53,1,0,0,0,142,75,51,0,0,0,108,0
"Georgia","Henry",2007,363,158,173,21,10,1,0,201,97,54,0,0,117,246,0
"Georgia","Houston",2007,103,52,46,3,2,0,0,191,74,49,0,0,0,103,0
"Georgia","Lowndes",2007,53,34,18,0,1,0,0,161,72,41,0,0,0,53,0
"Georgia","Murray",2007,281,138,119,23,1,0,0,159,100,51,0,0,229,52,0
"Georgia","Muscogee",2007,365,152,191,16,6,0,0,177,95,54,0,0,103,262,0
"Georgia","Paulding",2007,365,163,169,27,6,0,0,162,97,54,1,1,137,226,0
"Georgia","Pike",2007,362,246,95,19,2,0,0,156,84,44,0,0,362,0,0
"Georgia","Richmond",2007,346,124,202,18,2,0,0,164,87,58,0,0,99,247,0
"Georgia","Rockdale",2007,364,264,73,18,8,1,0,207,93,36,0,128,236,0,0
"Georgia","Spalding",2007,60,60,0,0,0,0,0,40,34,19,0,0,0,0,60
"Georgia","Sumter",2007,237,155,74,8,0,0,0,143,80,46,0,0,237,0,0
"Georgia","Walker",2007,102,46,53,3,0,0,0,127,82,54,0,0,0,102,0
"Georgia","Walton",2007,357,192,157,7,1,0,0,156,76,47,0,0,0,357,0
"Georgia","Washington",2007,60,26,33,1,0,0,0,110,74,53,0,0,0,56,4
"Georgia","Wilkinson",2007,101,42,57,2,0,0,0,140,75,54,0,0,0,101,0
"Hawaii","Hawaii",2007,120,104,16,0,0,0,0,91,56,6,0,0,0,120,0
"Hawaii","Honolulu",2007,365,361,4,0,0,0,0,67,30,20,5,40,130,62,128
"Hawaii","Maui",2007,335,315,19,0,1,0,0,164,40,21,0,0,0,46,289
"Idaho","Ada",2007,365,197,150,15,3,0,0,167,87,48,11,0,124,210,20
"Idaho","Bannock",2007,311,297,14,0,0,0,0,99,38,16,0,0,0,169,142
"Idaho","Benewah",2007,303,265,37,1,0,0,0,108,54,28,0,0,0,303,0
"Idaho","Bonner",2007,305,305,0,0,0,0,0,48,24,12,0,0,0,0,305
"Idaho","Bonneville",2007,276,246,30,0,0,0,0,82,52,26,0,0,0,276,0
"Idaho","Butte",2007,268,205,62,1,0,0,0,101,61,39,0,0,220,48,0
"Idaho","Canyon",2007,362,252,108,2,0,0,0,141,66,37,0,0,0,304,58
"Idaho","Custer",2007,115,103,10,2,0,0,0,132,52,8,0,0,0,115,0
"Idaho","Franklin",2007,211,189,20,2,0,0,0,117,51,20,0,0,0,211,0
"Idaho","Idaho",2007,340,310,27,2,1,0,0,167,44,16,0,0,0,340,0
"Idaho","Kootenai",2007,358,269,86,3,0,0,0,105,64,39,0,3,140,215,0
"Idaho","Latah",2007,353,339,14,0,0,0,0,81,39,14,0,0,0,353,0
"Idaho","Lemhi",2007,316,252,52,6,5,1,0,223,66,26,0,0,0,316,0
"Idaho","Nez Perce",2007,357,325,32,0,0,0,0,75,45,19,0,0,0,340,17
"Idaho","Power",2007,360,302,58,0,0,0,0,90,54,28,0,0,0,216,144
"Idaho","Shoshone",2007,361,194,150,16,1,0,0,152,84,46,0,0,0,347,14
"Idaho","Twin Falls",2007,295,243,52,0,0,0,0,79,55,30,0,0,0,295,0
"Idaho","Valley",2007,167,99,57,10,1,0,0,158,81,45,0,0,0,167,0
"Illinois","Adams",2007,334,265,63,6,0,0,0,140,67,37,0,0,308,26,0
"Illinois","Champaign",2007,365,251,100,14,0,0,0,140,80,42,0,0,298,67,0
"Illinois","Clark",2007,196,143,46,7,0,0,0,140,77,43,0,0,196,0,0
"Illinois","Cook",2007,365,49,265,44,6,1,0,203,108,71,0,152,71,139,3
"Illinois","DuPage",2007,365,180,177,8,0,0,0,147,75,51,0,0,108,257,0
"Illinois","Effingham",2007,223,150,61,12,0,0,0,129,87,45,0,0,223,0,0
"Illinois","Hamilton",2007,316,130,175,11,0,0,0,147,88,54,0,0,96,220,0
"Illinois","Jackson",2007,58,57,1,0,0,0,0,56,33,20,0,0,0,0,58
"Illinois","Jersey",2007,243,170,62,11,0,0,0,150,87,44,0,0,205,38,0
"Illinois","Jo Daviess",2007,358,300,46,12,0,0,0,143,64,36,0,0,358,0,0
"Illinois","Kane",2007,365,285,70,10,0,0,0,140,67,34,0,0,320,45,0
"Illinois","La Salle",2007,365,203,160,2,0,0,0,114,68,47,0,0,0,324,41
"Illinois","Lake",2007,365,287,67,9,2,0,0,154,74,35,0,0,336,29,0
"Illinois","Macon",2007,365,184,169,12,0,0,0,129,80,50,0,0,164,201,0
"Illinois","Macoupin",2007,364,314,41,8,1,0,0,164,58,34,0,0,359,0,5
"Illinois","Madison",2007,365,196,134,28,6,1,0,202,100,49,0,0,210,82,73
"Illinois","McHenry",2007,365,211,145,9,0,0,0,133,74,45,0,0,141,224,0
"Illinois","McLean",2007,365,263,92,9,1,0,0,166,84,39,0,0,319,46,0
"Illinois","Peoria",2007,365,174,172,19,0,0,0,136,86,52,1,0,157,206,1
"Illinois","Randolph",2007,360,266,75,19,0,0,0,140,77,40,0,0,322,38,0
"Illinois","Rock Island",2007,364,305,54,5,0,0,0,133,60,35,0,0,333,31,0
"Illinois","Saint Clair",2007,365,143,211,10,1,0,0,169,78,54,0,28,59,277,1
"Illinois","Sangamon",2007,365,288,72,5,0,0,0,136,62,35,8,0,291,66,0
"Illinois","Will",2007,362,292,63,7,0,0,0,122,64,35,0,0,316,45,1
"Illinois","Winnebago",2007,365,287,71,7,0,0,0,122,67,36,1,0,298,66,0
"Indiana","Allen",2007,365,155,190,19,1,0,0,151,90,53,1,0,119,245,0
"Indiana","Boone",2007,183,106,52,25,0,0,0,150,101,48,0,0,183,0,0
"Indiana","Carroll",2007,161,110,42,9,0,0,0,150,90,45,0,0,161,0,0
"Indiana","Clark",2007,354,102,210,35,7,0,0,174,112,60,0,0,101,253,0
"Indiana","Delaware",2007,333,137,177,18,1,0,0,154,93,54,0,0,122,211,0
"Indiana","Dubois",2007,332,125,199,8,0,0,0,116,76,54,0,0,0,332,0
"Indiana","Elkhart",2007,312,141,152,17,2,0,0,159,93,53,0,0,121,191,0
"Indiana","Floyd",2007,302,121,151,27,3,0,0,179,100,56,0,0,160,142,0
"Indiana","Greene",2007,183,80,74,27,2,0,0,161,115,54,0,0,183,0,0
"Indiana","Hamilton",2007,165,74,63,25,3,0,0,156,115,54,0,0,165,0,0
"Indiana","Hancock",2007,182,94,60,27,1,0,0,172,108,49,0,0,182,0,0
"Indiana","Hendricks",2007,365,287,56,22,0,0,0,143,90,32,25,149,177,0,14
"Indiana","Henry",2007,113,49,63,1,0,0,0,103,72,52,0,0,0,113,0
"Indiana","Howard",2007,109,53,55,1,0,0,0,111,74,51,0,0,0,109,0
"Indiana","Huntington",2007,182,112,59,11,0,0,0,140,90,46,0,0,182,0,0
"Indiana","Jackson",2007,183,100,62,21,0,0,0,143,101,49,0,0,183,0,0
"Indiana","Johnson",2007,182,90,66,25,1,0,0,161,112,51,0,0,182,0,0
"Indiana","Knox",2007,363,241,97,25,0,0,0,150,90,44,0,0,297,66,0
"Indiana","LaPorte",2007,341,186,139,16,0,0,0,150,80,48,0,0,116,225,0
"Indiana","Lake",2007,365,134,204,22,5,0,0,172,90,55,1,8,96,251,9
"Indiana","Madison",2007,350,142,193,15,0,0,0,150,90,55,0,0,118,231,1
"Indiana","Marion",2007,365,94,230,40,1,0,0,174,105,62,0,1,106,258,0
"Indiana","Morgan",2007,183,85,69,27,2,0,0,151,112,54,0,0,183,0,0
"Indiana","Perry",2007,213,117,71,23,2,0,0,166,105,48,0,0,180,0,33
"Indiana","Porter",2007,365,237,108,16,4,0,0,164,84,42,0,0,163,105,97
"Indiana","Posey",2007,181,87,64,29,1,0,0,151,108,51,0,0,181,0,0
"Indiana","Shelby",2007,182,83,66,32,1,0,0,161,119,54,0,0,182,0,0
"Indiana","Spencer",2007,113,55,57,1,0,0,0,108,81,52,0,0,0,113,0
"Indiana","St. Joseph",2007,365,174,174,17,0,0,0,150,87,51,0,11,127,227,0
"Indiana","Tippecanoe",2007,364,154,204,6,0,0,0,119,77,54,0,0,0,364,0
"Indiana","Vanderburgh",2007,365,147,173,37,8,0,0,164,108,55,0,3,117,244,1
"Indiana","Vigo",2007,345,139,189,17,0,0,0,150,86,53,0,0,88,256,1
"Indiana","Wabash",2007,356,273,62,21,0,0,0,147,87,38,0,0,356,0,0
"Indiana","Warrick",2007,183,77,73,32,1,0,0,151,112,58,0,0,183,0,0
"Indiana","Washington",2007,118,69,49,0,0,0,0,94,70,44,0,0,0,118,0
"Indiana","Whitley",2007,55,34,21,0,0,0,0,99,72,42,0,0,0,0,55
"Iowa","Black Hawk",2007,119,71,46,1,1,0,0,155,73,42,0,0,0,105,14
"Iowa","Bremer",2007,243,190,49,3,1,0,0,151,65,40,0,0,192,51,0
"Iowa","Cerro Gordo",2007,365,313,50,2,0,0,0,104,55,31,0,0,0,0,365
"Iowa","Clinton",2007,358,184,161,13,0,0,0,136,80,50,0,0,130,228,0
"Iowa","Delaware",2007,41,23,17,1,0,0,0,140,86,41,0,0,0,41,0
"Iowa","Harrison",2007,214,175,37,2,0,0,0,150,64,41,0,0,214,0,0
