"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Births	Average Birth Weight	Average LMP Gestational Age	Average OE Gestational Age
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2016"	"2016"	179	1880.056	33.506	33.191
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2017"	"2017"	180	1920.233	33.956	33.678
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	159	1914.371	34.176	33.855
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2019"	"2019"	178	1954.584	34.354	33.949
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2020"	"2020"	189	1934.302	34.312	33.878
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2021"	"2021"	154	1914.922	34.026	33.630
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2014"	"2014"	1296	1949.522	34.222	33.991
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2015"	"2015"	1359	1954.859	34.177	33.890
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2016"	"2016"	1317	1955.200	34.425	33.966
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2017"	"2017"	1251	1958.193	34.267	34.051
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2018"	"2018"	1174	1997.575	34.514	34.278
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2019"	"2019"	1218	2017.226	34.591	34.366
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2020"	"2020"	1272	1959.906	34.616	34.266
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2021"	"2021"	1269	2000.368	34.777	34.320
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	160	1993.400	33.969	33.786
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	155	2036.465	34.626	34.284
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	151	1972.536	34.073	33.781
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	153	1945.837	33.562	33.307
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	159	2042.296	34.478	34.314
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	121	2050.074	33.876	33.810
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2019"	"2019"	123	2037.732	34.569	34.512
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2020"	"2020"	144	1979.160	34.049	33.882
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2021"	"2021"	113	1969.460	34.115	33.876
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2013"	"2013"	173	2048.884	33.983	33.740
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2014"	"2014"	180	1991.478	34.511	34.072
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2015"	"2015"	170	1970.029	33.782	33.659
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2016"	"2016"	185	2013.784	34.357	34.205
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2017"	"2017"	187	1982.995	33.989	33.695
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2018"	"2018"	146	1989.623	33.932	33.671
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2019"	"2019"	167	2011.120	34.449	34.012
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2020"	"2020"	157	1964.465	33.586	33.510
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2021"	"2021"	169	1983.858	34.041	33.793
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2014"	"2014"	87	2146.057	36.161	35.747
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2015"	"2015"	73	2029.589	34.548	34.288
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2016"	"2016"	82	1983.671	34.634	34.146
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2017"	"2017"	57	2096.825	35.175	35.140
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2018"	"2018"	68	2052.309	34.956	34.824
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2019"	"2019"	65	2054.723	35.046	34.754
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2020"	"2020"	50	2064.100	34.740	34.860
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2021"	"2021"	66	2136.439	34.894	35.061
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2014"	"2014"	87	2001.943	35.230	34.839
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2015"	"2015"	95	2063.189	35.905	35.284
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2016"	"2016"	78	2149.372	36.513	36.038
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2017"	"2017"	95	2067.611	35.389	35.158
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2018"	"2018"	66	1889.667	34.077	34.185
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2019"	"2019"	56	1927.679	34.018	33.911
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2020"	"2020"	37	2164.595	35.973	35.649
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2021"	"2021"	60	2138.917	35.517	35.417
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	2705	2000.754	34.307	34.090
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	2661	2020.416	34.615	34.385
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2016"	"2016"	2720	2018.694	34.590	34.305
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2017"	"2017"	2682	2011.073	34.468	34.316
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2018"	"2018"	2437	2009.746	34.389	34.226
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2019"	"2019"	2372	2031.785	34.578	34.398
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2020"	"2020"	2297	2025.639	34.492	34.287
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2021"	"2021"	2524	2002.146	34.235	34.049
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2014"	"2014"	81	1934.222	33.630	33.136
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2015"	"2015"	84	2010.381	34.143	33.810
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2016"	"2016"	75	2118.587	35.397	35.315
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2017"	"2017"	73	2022.151	34.597	34.083
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2018"	"2018"	61	2059.115	35.213	34.869
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2019"	"2019"	67	1869.194	33.343	33.209
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2020"	"2020"	86	2026.930	34.860	34.605
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2021"	"2021"	73	1979.753	34.548	34.219
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2014"	"2014"	80	2027.787	35.025	35.263
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2015"	"2015"	75	2047.000	35.356	34.932
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2016"	"2016"	61	2048.869	35.169	34.576
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2017"	"2017"	81	1970.864	34.250	34.225
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2018"	"2018"	69	1982.870	34.242	34.197
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2019"	"2019"	65	1933.738	34.323	34.092
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2020"	"2020"	48	2024.833	33.896	33.875
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2021"	"2021"	60	1937.000	34.051	33.983
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2014"	"2014"	574	2038.378	34.572	34.344
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2015"	"2015"	491	2068.259	34.831	34.684
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2016"	"2016"	512	2036.004	34.578	34.516
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2017"	"2017"	484	2069.748	34.804	34.795
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2018"	"2018"	514	2015.722	34.457	34.430
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2019"	"2019"	489	2041.256	34.436	34.415
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2020"	"2020"	481	2006.025	34.235	34.297
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2021"	"2021"	489	2033.431	34.630	34.421
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2014"	"2014"	207	1997.531	34.049	33.922
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2015"	"2015"	191	1972.236	34.147	33.911
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2016"	"2016"	163	2052.957	34.877	34.387
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2017"	"2017"	193	2081.150	34.948	34.565
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2018"	"2018"	180	2014.317	34.503	34.324
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2019"	"2019"	183	1963.016	34.071	34.158
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2020"	"2020"	166	2026.994	34.509	34.267
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2021"	"2021"	207	2011.121	34.372	34.058
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2014"	"2014"	81	1981.543	34.519	34.420
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2015"	"2015"	69	2003.609	34.623	34.464
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2016"	"2016"	94	1878.787	34.000	33.543
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2017"	"2017"	82	2000.000	34.524	34.500
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2018"	"2018"	77	2025.338	34.182	34.208
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2019"	"2019"	86	2089.209	35.058	34.802
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2020"	"2020"	71	1851.549	33.873	33.366
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2021"	"2021"	71	2136.662	35.859	35.634
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2014"	"2014"	115	1892.417	33.500	33.333
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2015"	"2015"	126	1924.413	33.548	33.262
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2016"	"2016"	133	1894.662	33.564	33.331
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2017"	"2017"	101	2031.069	33.941	34.040
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2018"	"2018"	117	2048.709	34.709	34.231
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2019"	"2019"	117	1909.179	33.521	33.282
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2020"	"2020"	106	1972.509	34.330	33.585
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2021"	"2021"	122	2045.082	34.240	34.388
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2014"	"2014"	129	1995.845	34.767	34.496
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2015"	"2015"	145	1984.338	34.361	34.139
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2016"	"2016"	158	2081.152	34.643	34.586
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2017"	"2017"	152	1957.776	33.803	33.671
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2018"	"2018"	120	1977.417	34.308	34.058
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2019"	"2019"	122	2031.648	34.636	34.256
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2020"	"2020"	148	2118.797	35.115	35.101
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"2021"	"2021"	106	2002.472	34.132	33.962
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2014"	"2014"	165	2026.109	34.594	34.376
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2015"	"2015"	169	2009.994	34.521	34.325
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2016"	"2016"	143	2014.867	34.273	33.909
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2017"	"2017"	176	2037.801	34.875	34.477
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2018"	"2018"	198	2020.975	34.364	34.071
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2019"	"2019"	162	2064.049	34.438	34.105
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2020"	"2020"	169	2074.970	35.065	34.515
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2021"	"2021"	169	1987.538	34.604	34.154
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2014"	"2014"	73	2008.411	34.630	34.260
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2015"	"2015"	72	1974.472	35.111	33.931
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2016"	"2016"	59	2042.339	35.271	34.644
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2017"	"2017"	85	1899.812	32.976	33.259
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2018"	"2018"	64	1967.203	34.391	33.750
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2019"	"2019"	72	1927.597	33.403	33.139
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2020"	"2020"	87	2019.276	34.540	34.368
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"2021"	"2021"	65	2046.477	34.615	34.354
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2014"	"2014"	474	1985.167	36.013	34.370
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2015"	"2015"	492	1942.148	35.167	33.959
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2016"	"2016"	441	1993.871	35.546	34.342
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2017"	"2017"	369	2010.241	35.474	34.569
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2018"	"2018"	410	1972.973	34.237	34.129
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2019"	"2019"	421	1888.169	33.805	33.540
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2020"	"2020"	477	1989.545	34.285	34.034
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"2021"	"2021"	436	1955.236	34.113	33.876
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2014"	"2014"	83	1932.578	36.807	34.084
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2015"	"2015"	89	1909.236	35.393	33.404
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2016"	"2016"	82	1892.841	34.768	33.732
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2017"	"2017"	69	1931.594	34.725	33.333
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2018"	"2018"	55	1884.745	33.473	33.055
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2019"	"2019"	72	1892.458	33.403	33.181
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2020"	"2020"	77	1980.870	34.558	34.078
	"Arkansas"	"05"	"Saline County, AR"	"05125"	"2021"	"2021"	90	1979.289	34.400	33.811
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2014"	"2014"	70	1974.314	34.543	34.157
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2015"	"2015"	64	2025.859	34.453	34.156
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2016"	"2016"	56	2025.161	34.464	34.321
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2017"	"2017"	87	1988.931	34.563	33.805
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2018"	"2018"	69	2080.942	34.768	34.406
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2019"	"2019"	79	2070.203	34.608	34.266
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2020"	"2020"	76	2106.461	35.053	34.671
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"2021"	"2021"	55	2160.709	35.364	35.236
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2014"	"2014"	180	1976.072	34.179	34.061
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2015"	"2015"	168	2072.321	35.036	34.485
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2016"	"2016"	173	1969.792	33.994	33.850
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2017"	"2017"	151	2023.040	34.768	34.397
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2018"	"2018"	170	1976.994	34.282	33.953
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2019"	"2019"	194	1997.753	34.299	34.036
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2020"	"2020"	135	1939.704	33.696	33.415
	"Arkansas"	"05"	"Washington County, AR"	"05143"	"2021"	"2021"	167	2011.988	34.665	34.389
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"2014"	"2014"	1177	1964.840	35.041	34.160
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"2015"	"2015"	1240	1933.626	34.327	33.670
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"2016"	"2016"	1150	1937.743	34.515	33.803
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"2017"	"2017"	1096	1976.927	34.740	34.047
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"2018"	"2018"	1118	1972.064	34.277	33.972
